"";"category";"commenting_person_id";"positive_reaction";"comment_id";"time";"date";"article_id";"reacting_person_id"
"129464";"zahranicni";545;1;70980660;"17:21";"3.3.2015";"A150303_112658_zahranicni_ert";9528
"129465";"zahranicni";545;1;70980660;"17:21";"3.3.2015";"A150303_112658_zahranicni_ert";11177
"129466";"zahranicni";545;1;70980660;"17:21";"3.3.2015";"A150303_112658_zahranicni_ert";35572
"129467";"zahranicni";545;1;70980660;"17:21";"3.3.2015";"A150303_112658_zahranicni_ert";60246
"129468";"zahranicni";545;1;70980660;"17:21";"3.3.2015";"A150303_112658_zahranicni_ert";13648
"129469";"zahranicni";545;1;70980660;"17:21";"3.3.2015";"A150303_112658_zahranicni_ert";9051
"129470";"zahranicni";545;1;70980660;"17:21";"3.3.2015";"A150303_112658_zahranicni_ert";2494
"129471";"zahranicni";545;1;70980660;"17:21";"3.3.2015";"A150303_112658_zahranicni_ert";39635
"129472";"zahranicni";545;1;70980660;"17:21";"3.3.2015";"A150303_112658_zahranicni_ert";23396
"129473";"zahranicni";545;1;70980660;"17:21";"3.3.2015";"A150303_112658_zahranicni_ert";87246
"129474";"zahranicni";545;1;70980660;"17:21";"3.3.2015";"A150303_112658_zahranicni_ert";2459
"129475";"zahranicni";545;1;70980660;"17:21";"3.3.2015";"A150303_112658_zahranicni_ert";79237
"129476";"zahranicni";545;1;70980660;"17:21";"3.3.2015";"A150303_112658_zahranicni_ert";41658
"129477";"zahranicni";545;1;70980660;"17:21";"3.3.2015";"A150303_112658_zahranicni_ert";22634
"129478";"zahranicni";545;1;70980660;"17:21";"3.3.2015";"A150303_112658_zahranicni_ert";36559
"129479";"zahranicni";545;1;70980660;"17:21";"3.3.2015";"A150303_112658_zahranicni_ert";52660
"129480";"zahranicni";545;1;70980660;"17:21";"3.3.2015";"A150303_112658_zahranicni_ert";2314
"129481";"zahranicni";545;1;70980660;"17:21";"3.3.2015";"A150303_112658_zahranicni_ert";94691
"129482";"zahranicni";545;1;70980660;"17:21";"3.3.2015";"A150303_112658_zahranicni_ert";75125
"129483";"zahranicni";545;1;70980660;"17:21";"3.3.2015";"A150303_112658_zahranicni_ert";77171
"129484";"zahranicni";545;1;70980660;"17:21";"3.3.2015";"A150303_112658_zahranicni_ert";26927
"129485";"zahranicni";545;1;70980660;"17:21";"3.3.2015";"A150303_112658_zahranicni_ert";75822
"129486";"zahranicni";545;1;70980660;"17:21";"3.3.2015";"A150303_112658_zahranicni_ert";43898
"129487";"zahranicni";91507;1;70980701;"17:23";"3.3.2015";"A150303_112658_zahranicni_ert";32426
